Description;rules
Possible error: Average (price/weight), (price/Supplementary unit) and (weight/supplementary unit) of new record is too high or low for both combinations of the same flow-product number-country and flow-product number for the last 12 months, where number of records<10;Table Identifier IN (SELECT Table Identifier FROM HRÁAR2019 F JOIN  MEÐALVERÐ M ON M.Flow = F.Flow AND M.Customs tariff number (HS6+2)=F.Customs tariff number (HS6+2) AND M.Partner country (Country of origin)=F.Partner country (Country of origin) WHERE (M.Flow = 'M' AND ((CASE Quantity WHEN 0 THEN Cif value ELSE Cif value/Quantity END)<(VM_M-VM_S) OR (CASE Quantity WHEN 0 THEN Cif value ELSE Cif value/Quantity END)>(VM_S+VM_M)) AND ((CASE F.Supplementary unit WHEN 0 THEN Cif value ELSE Cif value/F.Supplementary unit END)<(VE_M-VE_S) OR (CASE  F.Supplementary unit WHEN 0 THEN Cif value ELSE Cif value/F.Supplementary unit END)>(VE_S+VE_M)) AND ((CASE F.Supplementary unit WHEN 0 THEN Quantity ELSE Quantity/F.Supplementary unit END)<(ME_M-ME_S) OR (CASE F.Supplementary unit WHEN 0 THEN Quantity ELSE Quantity/F.Supplementary unit END)>(ME_S+ME_M))) OR (M.Flow = 'X' AND ((CASE Quantity WHEN 0 THEN Fob value ELSE Fob value/Quantity END)<(VM_M-VM_S) OR (CASE Quantity WHEN 0 THEN Fob value ELSE Fob value/Quantity END)>(VM_S+VM_M)) AND ((CASE F.Supplementary unit WHEN 0 THEN Fob value ELSE Fob value/F.Supplementary unit END)<(VE_M-VE_S) OR (CASE  F.Supplementary unit WHEN 0 THEN Fob value ELSE Fob value/F.Supplementary unit END)>(VE_S+VE_M)) AND ((CASE F.Supplementary unit WHEN 0 THEN Quantity ELSE Quantity/F.Supplementary unit END)<(ME_M-ME_S) OR (CASE F.Supplementary unit WHEN 0 THEN Quantity ELSE Quantity/F.Supplementary unit END)>(ME_S+ME_M))))
Possible error: Average (price/weight) of new record is too high or low for both combinations of the same flow-product number-country and flow-product number for the last 12 months, where number of records<10;Table Identifier IN (SELECT Table Identifier FROM HRÁAR2019 F JOIN  MEÐALVERÐ M ON M.Flow = F.Flow AND M.Customs tariff number (HS6+2)=F.Customs tariff number (HS6+2) AND M.Partner country (Country of origin)=F.Partner country (Country of origin) WHERE (M.Flow ='M' AND ((CASE Quantity WHEN 0 THEN Cif value ELSE Cif value/Quantity END)<(VM_M-VM_S) OR (CASE Quantity WHEN 0 THEN Cif value ELSE Cif value/Quantity END)>(VM_S+VM_M))) OR (M.Flow ='X' AND ((CASE Quantity WHEN 0 THEN Fob value ELSE Cif value/Quantity END)<(VM_M-VM_S) OR (CASE Quantity WHEN 0 THEN Fob value ELSE Fob value/Quantity END)>(VM_S+VM_M))))
Possible error: Average (price/Supplementary unit) of new record is too high or low for both combinations of the same flow-product number-country and flow-product number for the last 12 months, where number of records<10;Table Identifier IN (SELECT Table Identifier FROM HRÁAR2019 F JOIN  MEÐALVERÐ M ON M.Flow = F.Flow AND M.Customs tariff number (HS6+2)=F.Customs tariff number (HS6+2) AND M.Partner country (Country of origin)=F.Partner country (Country of origin) WHERE (m.eink = 'M' and ((CASE eifj WHEN 0 THEN cif_verð ELSE cif_verð/eifj END)<(VM_M-VM_S) or (CASE eifj WHEN 0 THEN cif_verð ELSE cif_verð/eifj END)>(VM_S+VM_M))) or(m.eink = 'X' and ((CASE eifj WHEN 0 THEN fob_verð ELSE cif_verð/eifj END)<(VM_M-VM_S) or (CASE eifj WHEN 0 THEN fob_verð ELSE fob_verð/eifj END)>(VM_S+VM_M))))
Possible error: Average (weight/supplementary unit) of new record is too high or low for both combinations of the same flow-product number-country and flow-product number for the last 12 months, where number of records<10;Table Identifier IN (SELECT Table Identifier FROM HRÁAR2019 F JOIN  MEÐALVERÐ M ON M.Flow = F.Flow AND M.Customs tariff number (HS6+2)=F.Customs tariff number (HS6+2) AND M.Partner country (Country of origin)=F.Partner country (Country of origin) WHERE (M.Flow ='M' AND ((CASE Supplementary unit WHEN 0 THEN Cif value ELSE Quantity/Supplementary unit END)<(VM_M-VM_S) OR (CASE Supplementary unit WHEN 0 THEN Cif value ELSE Quantity/Supplementary unit END)>(VM_S+VM_M))) OR (M.Flow ='X' AND ((CASE Supplementary unit WHEN 0 THEN Fob value ELSE Quantity/Supplementary unit END)<(VM_M-VM_S) OR (CASE Supplementary unit WHEN 0 THEN Quantity ELSE Quantity/Supplementary unit END)>(VM_S+VM_M))))
Possible error: Average (price/weight), (price/Supplementary unit) and (weight/supplementary unit) of new record is too high or low for both combinations of the same flow-product number-country and flow-product number for the last 12 months, where number of records<10;Table Identifier IN (SELECT Table Identifier FROM HRÁAR2019 F JOIN  MEÐALVERÐ M ON M.Flow = F.Flow AND M.Customs tariff number (HS6+2)=F.Customs tariff number (HS6+2) AND M.Partner country (Country of origin)=F.Partner country (Country of origin) WHERE (M.Flow = 'M' AND ((CASE Quantity WHEN 0 THEN Cif value ELSE Cif value/Quantity END)<(VM_M-VM_S) OR (CASE Quantity WHEN 0 THEN Cif value ELSE Cif value/Quantity END)>(VM_S+VM_M)) AND ((CASE F.Supplementary unit WHEN 0 THEN Cif value ELSE Cif value/F.Supplementary unit END)<(VE_M-VE_S) OR (CASE  F.Supplementary unit WHEN 0 THEN Cif value ELSE Cif value/F.Supplementary unit END)>(VE_S+VE_M)) AND ((CASE F.Supplementary unit WHEN 0 THEN Quantity ELSE Quantity/F.Supplementary unit END)<(ME_M-ME_S) OR (CASE F.Supplementary unit WHEN 0 THEN Quantity ELSE Quantity/F.Supplementary unit END)>(ME_S+ME_M))) OR (M.Flow = 'X' AND ((CASE Quantity WHEN 0 THEN Fob value ELSE Fob value/Quantity END)<(VM_M-VM_S) OR (CASE Quantity WHEN 0 THEN Fob value ELSE Fob value/Quantity END)>(VM_S+VM_M)) AND ((CASE F.Supplementary unit WHEN 0 THEN Fob value ELSE Fob value/F.Supplementary unit END)<(VE_M-VE_S) OR (CASE  F.Supplementary unit WHEN 0 THEN Fob value ELSE Fob value/F.Supplementary unit END)>(VE_S+VE_M)) AND ((CASE F.Supplementary unit WHEN 0 THEN Quantity ELSE Quantity/F.Supplementary unit END)<(ME_M-ME_S) OR (CASE F.Supplementary unit WHEN 0 THEN Quantity ELSE Quantity/F.Supplementary unit END)>(ME_S+ME_M))))
Possible error: This flow, product code and country has not appear in the data for the last 12 months.;Table Identifier NOT IN (SELECT A.Table Identifier FROM HRÁAR2019 A JOIN MEÐALVERÐSGRUNNUR F ON A.Flow = F.Flow AND A.Customs tariff number (HS6+2)=F.Customs tariff number (HS6+2) AND A.Partner country (Country of origin)=F.Partner country (Country of origin) WHERE RIGHT(Month of Customs clearance,2) = (CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END)) AND RIGHT(Month of Customs clearance,2) = (CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END)
Error: The field "Country code" is the country code for Serbia and Montenegro;RIGHT(Month of Customs clearance,2) = (CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Partner country (Country of origin)= 'CS'
Possible error: The field "Country code" is the country code for Ethiopia;RIGHT(Month of Customs clearance,2) = (CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Partner country (Country of origin)= 'ET'
Possible error: The field "Country code" is the country code for Ecuador;RIGHT(Month of Customs clearance,2) = (CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Partner country (Country of origin)= 'EC'
Possible error: The field "Country code" is the country code for El Salvador;RIGHT(Month of Customs clearance,2) = (CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Partner country (Country of origin)= 'SV'
Possible error: The field "Country code" is the country code for Dominican Republic;RIGHT(Month of Customs clearance,2) = (CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Partner country (Country of origin)= 'DM'
Error: The field "Country code" is the country code for Iceland;RIGHT(Month of Customs clearance,2) = (CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Partner country (Country of origin)= 'IS'
Possible error: The field "Country code" is the country code for Tokelau;RIGHT(Month of Customs clearance,2) = (CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Partner country (Country of origin)= 'TK'
Possible error: The field "Country code" is the country code for St. Kitts and Nevis;RIGHT(Month of Customs clearance,2) = (CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Partner country (Country of origin)= 'KN'
Possible error: The field "Country code" is the country code for Sierra Leone;RIGHT(Month of Customs clearance,2) = (CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Partner country (Country of origin)= 'SL'
Error: The field "Country code" is North Korea;RIGHT(Month of Customs clearance,2) = (CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Partner country (Country of origin)= 'KP'
Possible error: The Country code is Nigeria;RIGHT(Month of Customs clearance,2) = (CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Partner country (Country of origin)= 'NE'
Possible error: The field "Country code" is Georgia;RIGHT(Month of Customs clearance,2) = (CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Partner country (Country of origin)= 'GE'
Warning: Customs preference code  is code for big projects;Exemption= 'HVNRV'
Warning: Customs preference code  is code for big projects;Exemption= 'HVSNE'
Warning: Customs preference code  is code for big projects;Exemption= 'JARNB'
Warning: Customs preference code  is code for big projects;Exemption= 'Partner country (Country of origin)V'
Warning: Customs preference code is code for the resell of vehicle to abroad;Exemption= 'LÖT19'
Warning: Customs preference code  is code for big projects;Exemption= 'NORAL'
Warning: Customs preference code is code for goods resent to abroad;Exemption= 'T0007'
Warning: Customs preference code for different kinds of terporary imports;Exemption= 'T0016'
Warning: Customs preference code for different kinds of terporary imports;Exemption= 'T0017'
Warning: Customs preference code for different kinds of terporary imports;Exemption= 'T0018'
Warning: Customs preference code for different kinds of terporary imports;Exemption= 'T0019'
Warning: Customs preference code for different kinds of terporary imports;Exemption= 'T0020'
Warning: Customs preference code for different kinds of terporary imports;Exemption= 'T0021'
Warning: Customs preference code for different kinds of terporary imports;Exemption= 'T0022'
Warning: Customs preference code is for enterprises exempt taxes;Exemption= 'T0304'
Warning: Customs preference code is T9000, goods resold to Free Zone;Exemption= 'T9000'
Warning: Customs preference code is not valid;Exemption NOT IN (SELECT UNDANÞÁGUR FROM UNDANÞÁGUR_ALLAR) AND Exemption IS NOT NULL
Possible error: Temporary customs clearence for temporary import;RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Transmission types = 'BB' AND Flow= 'M'
Possible error: Temporary customs clearence for temporary ATA-Carnet;RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Transmission types = 'BC' AND Flow= 'M'
Possible error: Temporary customs clearence for newspapers and magazines;RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Transmission types = 'BD' AND Flow= 'M'
Possible error: Temporary customs clearance for turist vehicles;RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Transmission types = 'BF' AND Flow= 'M'
Possible error: Temporary customs clearence for rent;RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Transmission types = 'BL' AND Flow= 'M'
Possible error: Temporary customs clearence for emergency license;RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Transmission types = 'BN' AND Flow= 'M'
Possible error: Temporary customs clearance for car show;RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Transmission types = 'BS' AND Flow= 'M'
Possible error: Temporary customs clearance for transit;RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Transmission types = 'BT' AND Flow= 'M'
Possible error: Temporary customs clearance when papers are missing;RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Transmission types = 'BV' AND Flow= 'M'
Possible error: Re-export or transit;RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Transmission types = 'UU' AND Flow= 'X'
Possible error: Temporary customs clearance or transit;RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Transmission types = 'U2' AND Flow= 'X'
Possible error: Nature of transaction code is not valid;RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Transmission types IS NULL AND Flow= 'X'
Possible errors: In this record the goods are sent free of charge, according to the field "Nature of transaction", but normal import/exports according to the field "Statistical procedure";RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Nature of transaction = '0' AND Statistical procedure = '10' AND Flow= 'X'
Possible errors: In this record the goods are sent free of charge, according to the field "Nature of transaction", but normal er-export according to the field "Statistical procedure";RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Nature of transaction = '0' AND Statistical procedure = '15' AND Flow= 'X'
Possible errors: In this record the goods are sold to abroad according to the field "Nature of transaction" but is a re-export of previous temporary imports according to the field "Statistical procedure");RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Nature of transaction = '1' AND Statistical procedure = '35' AND Flow= 'X'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (fish);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) > '03019101' AND Customs tariff number (HS6+2) < '03079920'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (fish,animalblood and sperm);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) > '05111000' AND Customs tariff number (HS6+2) < '05119909'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (Banana, date, fig og pineapple);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) > '08030000' AND Customs tariff number (HS6+2) < '08043000'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (orange, mandarin, lemmon and more);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) > '08051000' AND Customs tariff number (HS6+2) < '08059000'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (new grapes);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) = '08061000'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (melon);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) > '08071100' AND Customs tariff number (HS6+2) < '08071900'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (coffie);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) > '09011100' AND Customs tariff number (HS6+2) < '09019000'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (beer, sparkling wine, champagne, white wine, red wine and more);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) > '22030021' AND Customs tariff number (HS6+2) < '22080099'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (raw or roughly trimmed quartzite);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) = '25062100'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (shaped iron ore);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) = '26011200'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (anthracite);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) = '27011100'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (coke and half coke from coal, lignite or peat);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) = '27040000'
Possible errors: For imports, certain product codes are checked every month which have a history of errors (airplane-, unleaded and other fuel);RIGHT(Month of Customs clearance,2)=(CASE WHEN MONTH(GETDATE()) = 1 THEN 12 ELSE MONTH(GETDATE()) - 1 END) AND Customs tariff number (HS6+2) > '27101110' AND Customs tariff number (HS6+2) < '27101130'
